Wall time,Step,Value
1606342693.3631914,368,-4200.0
1606342697.677159,608,-4100.0
1606342702.5073912,848,-4800.0
1606342706.0337298,1088,-3800.0
1606342710.271419,1328,-4300.0
1606342714.5520086,1568,-4400.0
1606342719.50176,1808,-4400.0
1606342723.898498,2048,-3900.0
1606342725.9695487,2288,-4400.0
1606342729.5253732,2528,-3600.0
1606342733.412994,2768,-3900.0
1606342738.0524065,3008,-4000.0
1606342742.584218,3248,-4500.0
1606342746.4601643,3488,-4000.0
1606342750.334173,3728,-3700.0
1606342755.363421,3968,-4600.0
1606342757.4200878,4208,-4700.0
1606342761.2126584,4448,-4000.0
1606342765.1333241,4688,-4300.0
1606342769.212194,4928,-4100.0
1606342773.0542517,5168,-3800.0
1606342776.689861,5408,-3300.0
1606342780.494764,5648,-4000.0
1606342783.9079428,5888,-4200.0
1606342785.6018963,6128,-3400.0
1606342790.4644496,6368,-4700.0
1606342794.6684933,6608,-4400.0
1606342798.8829813,6848,-4400.0
1606342803.2054605,7088,-4600.0
1606342807.5075338,7328,-4600.0
1606342811.122997,7568,-4000.0
1606342814.6353185,7808,-3500.0
1606342816.5033813,8048,-3900.0
1606342820.2808335,8288,-4000.0
1606342824.7647083,8528,-4100.0
1606342828.7763958,8768,-4100.0
1606342832.6835222,9008,-4400.0
1606342837.109691,9248,-4200.0
1606342840.5791526,9488,-4000.0
1606342844.9547145,9728,-4300.0
1606342846.8352804,9968,-4500.0
1606342852.0076146,10208,-4500.0
1606342855.5567832,10448,-4000.0
1606342860.08021,10688,-4300.0
1606342863.6055882,10928,-4100.0
1606342867.8789268,11168,-4400.0
1606342872.1040144,11408,-4200.0
1606342876.1531048,11648,-3700.0
1606342877.7530773,11888,-4000.0
1606342881.4283714,12128,-3700.0
1606342885.1713128,12368,-4400.0
1606342888.4756916,12608,-3300.0
1606342891.802215,12848,-3800.0
1606342896.2356873,13088,-4400.0
1606342899.9930415,13328,-3800.0
1606342904.0828135,13568,-4700.0
1606342906.2178159,13808,-4300.0
1606342909.8060079,14048,-3900.0
1606342914.4837213,14288,-4800.0
1606342918.8975787,14528,-4800.0
1606342923.208032,14768,-4300.0
1606342927.6233225,15008,-4500.0
1606342932.2778234,15248,-4700.0
1606342936.2431712,15488,-4500.0
